乣	5545
幻	5545
弍	11154
玉	11214
玊	11214
匞	11215
玌	11215
刊	11222
未	11234
末	11234
示	11234
击	11252
邗	11252
邘	11252
丼	11324
戋	11534
圢	12112
打	12112
巧	12115
正	12121
圤	12124
扑	12124
卉	12132
圦	12134
扒	12134
扖	12134
圥	12135
扏	12135
凷	12152
卭	12152
壭	12152
邛	12152
功	12153
扐	12153
扔	12153
去	12154
払	12154
甘	12211
艼	12212
世	12215
丗	12221
卌	12222
艾	12234
艽	12235
芁	12235
古	12251
节	12252
艻	12253
艿	12253
芀	12253
本	12341
术	12344
札	12345
朰	12345
朮	12354
刌	12422
辻	12454
可	12512
叵	12515
匝	12525
丙	12534
厈	13112
圧	13121
左	13121
厉	13153
丕	13241
右	13251
石	13251
布	13252
厇	13315
夳	13411
夲	13412
夰	13432
冭	13444
夯	13453
厺	13454
达	13454
戊	13534
龙	13534
犮	13544
匛	13545
平	14312
灭	14334
乬	15155
巪	15155
轧	15215
东	15234
匜	15255
劢	15353
戉	15534
卡	21124
仧	21134
北	21135
凸	21251
占	21251
歺	21354
卢	21513
业	22431
旧	22511
帅	23252
归	23511
氺	24134
且	25111
旦	25111
目	25111
叮	25112
叶	25112
曱	25112
甲	25112
申	25112
号	25115
电	25115
田	25121
由	25121
卟	25124
只	25134
叭	25134
史	25134
叺	25134
央	25134
兄	25135
叱	25135
叽	25135
叼	25151
叩	25152
叫	25152
另	25153
叧	25153
叨	25153
叻	25153
叹	25154
亗	25211
冉	25211
甴	25211
帄	25212
屵	25213
冊	25221
皿	25221
罒	25221
冋	25251
凹	25251
邖	25252
屴	25253
屶	25253
屷	25253
囚	25341
四	25351
囙	25511
囘	25515
冎	25525
囜	25541
钅	31115
玍	31121
生	31121
失	31134
矢	31134
氕	31153
乍	31211
尓	31234
禾	31234
刋	31322
叐	31354
刉	31522
仨	32111
仠	32112
丘	32121
仕	32121
仜	32121
付	32124
仗	32134
代	32154
仩	32211
仦	32234
仙	32252
仟	32312
仛	32315
仡	32315
仢	32354
仫	32354
伋	32354
们	32425
仪	32434
白	32511
仔	32521
他	32525
仞	32534
仭	32534
斥	33124
卮	33155
瓜	33544
仝	34121
仺	34151
尒	34234
仚	34252
屳	34252
乎	34312
丛	34341
令	34454
込	34454
用	35112
甩	35115
肊	35115
印	35152
氐	35154
乐	35234
尔	35234
句	35251
叴	35251
凧	35252
匆	35334
犰	35335
匃	35345
册	35351
卯	35352
匇	35354
犯	35355
匄	35415
处	35424
外	35424
処	35435
冬	35444
鸟	35451
夘	35452
邜	35452
务	35453
夗	35455
刍	35511
饤	35512
包	35515
饥	35535
主	41121
冮	41121
市	41252
庁	41312
庂	41334
庀	41335
疒	41341
邝	41352
広	41354
立	41431
冯	41551
邙	41552
玄	41554
氷	42534
闪	42534
兰	43111
半	43112
汀	44112
汁	44112
汅	44115
汇	44115
乧	44125
头	44134
汃	44134
汄	44134
氿	44135
汈	44151
氻	44153
汉	44154
氾	44155
忊	44212
忇	44253
忉	44253
宁	44512
穴	44534
宂	44535
它	44535
宄	44535
讦	45112
讧	45121
讨	45124
戹	45135
写	45151
让	45211
衤	45234
礼	45245
冚	45252
讪	45252
讫	45315
讬	45315
训	45322
必	45434
议	45434
讯	45512
记	45515
永	45534
讱	45534
司	51251
叏	51254
凥	51335
尻	51335
尼	51335
民	51515
弗	51532
邔	51552
弘	51554
疋	52134
阢	52135
叾	52251
出	52252
阡	52312
阣	52315
辽	52454
阠	52512
阤	52525
氶	52534
氹	52534
奵	53112
邚	53152
奶	53153
奴	53154
丱	53221
尕	53234
加	53251
召	53251
皮	53254
辸	53454
边	53454
辺	53454
孕	53521
发	53544
圣	54121
对	54124
弁	54132
厼	54234
台	54251
癶	54334
矛	54523
纠	55152
驭	55154
母	55414
幼	55453
丝	55551
廵	55554
弎	111154
弐	111154
匡	111215
耒	111234
邦	111352
玎	112112
兲	112134
玐	112134
玑	112135
玏	112153
丟	112154
式	112154
迀	112454
迂	112454
幵	113112
刑	113222
邢	113252
邞	113452
刓	113522
戎	113534
邧	113552
忈	114544
动	115453
迃	115454
圩	121112
扜	121112
扞	121112
圬	121115
扝	121115
圭	121121
扗	121121
扛	121121
圷	121124
寺	121124
扙	121134
扤	121135
圵	121211
卋	121221
吉	121251
扣	121251
圸	121252
圲	121312
扦	121312
圪	121315
圫	121315
托	121315
扢	121315
扥	121315
考	121315
圳	121322
老	121335
老	121339
圴	121354
圾	121354
巩	121354
扚	121354
执	121354
扱	121354
圹	121413
扩	121413
扪	121425
赱	121434
扫	121511
扟	121512
圮	121515
圯	121515
地	121525
扡	121525
场	121533
扬	121533
扨	121534
扠	121544
耳	122111
芉	122112
芋	122112
芌	122115
芏	122121
芐	122124
共	122134
芖	122134
芅	122154
芇	122252
芊	122312
芃	122354
芄	122354
芍	122354
芕	122354
芨	122354
芒	122415
亚	122431
芝	122454
芎	122515
芑	122515
芓	122521
芆	122544
芗	122553
朾	123412
朽	123415
朴	123424
朲	123434
朳	123434
杁	123434
朹	123435
机	123435
朼	123435
朻	123452
朷	123453
朸	123453
权	123454
过	124454
亘	125111
臣	125125
吏	125134
再	125211
襾	125221
覀	125221
朿	125234
両	125252
协	125344
西	125351
亙	125441
攰	125453
压	131214
厌	131344
厍	131512
厊	131523
